Therapeutic,CH1 Isotype,VD LC,Fab_Total_SASA,Fab_Total_SAP,Ch_A_Length,Ch_B_Length,Fab_Total_AAs,Chain_SASA,Chain_SAP,Num_Hydrophobic_Patches,Largest_Hydrophobic_Patch_Size,Largest_Hydrophobic_Patch_SASA,Max_Hydrophobic_Patch_Intensity,Mean_Hydrophobic_Patch_Intensity,Sum_Total_Hydrophobic_Patch_SASA,Top_Hydrophobic_Patch_Burden,Hydro_Dipole_Moment_X,Hydro_Dipole_Moment_Y,Hydro_Dipole_Moment_Z,Num_Aromatic_Patches,Largest_Aromatic_Patch_Size,Largest_Aromatic_Patch_SASA,Max_Aromatic_Patch_Intensity,Mean_Aromatic_Patch_Intensity,Sum_Total_Aromatic_Patch_SASA,Top_Aromatic_Patch_Burden,Net_Charge,Dipole_Moment_X,Dipole_Moment_Y,Dipole_Moment_Z,Complementary_Charge_Patches,Chain_Num_Hydrophobic_Patches,Chain_Largest_Hydrophobic_Patch_Size,Chain_Largest_Hydrophobic_Patch_SASA,Chain_Max_Hydrophobic_Patch_Intensity,Chain_Mean_Hydrophobic_Patch_Intensity,Chain_Sum_Total_Hydrophobic_Patch_SASA,Chain_Top_Hydrophobic_Patch_Burden,Chain_Hydro_Dipole_Moment_X,Chain_Hydro_Dipole_Moment_Y,Chain_Hydro_Dipole_Moment_Z,Chain_Num_Aromatic_Patches,Chain_Largest_Aromatic_Patch_Size,Chain_Largest_Aromatic_Patch_SASA,Chain_Max_Aromatic_Patch_Intensity,Chain_Mean_Aromatic_Patch_Intensity,Chain_Sum_Total_Aromatic_Patch_SASA,Chain_Top_Aromatic_Patch_Burden,Chain_Net_Charge,Chain_Dipole_Moment_X,Chain_Dipole_Moment_Y,Chain_Dipole_Moment_Z,Chain_Complementary_Charge_Patches
Abagovomab,G1,Kappa,29293.22,-198.32,217,214,431,15136.39,-166.2,8,12,594.11,0.856,0.4523,3466.0,453.968,18.493,0.223,-1.207,1,4,328.53,82.1327,82.1327,328.53,26983.0961,8.15,-101.289,463.468,-131.489,64,5,7,452.08,0.856,0.4315,1816.88,323.9301,7.726,4.94,0.02,0,0,0.0,0.0,0.0,0.0,0.0,5.43,90.725,-157.244,-148.367,35
Abazistobart,G4,Kappa,25703.37,-231.21,201,214,415,12814.29,-226.73,5,19,1391.25,0.863,0.5056,3374.9,709.7709,3.937,0.757,-13.356,0,0,0.0,0.0,0.0,0.0,0.0,6.33,133.141,442.355,432.113,75,3,6,339.15,0.4766,0.2611,770.71,101.2523,1.272,3.442,-6.005,0,0,0.0,0.0,0.0,0.0,0.0,3.62,109.297,107.671,104.426,40
Abelacimab,G1,Lambda,25825.05,-166.99,220,216,436,13886.11,-170.06,4,9,592.9,0.6822,0.4659,1672.7,187.8324,-13.66,-2.403,-4.628,0,0,0.0,0.0,0.0,0.0,0.0,3.61,-169.912,353.583,-68.026,61,0,0,0.0,0.0,0.0,0.0,0.0,-5.843,-5.338,8.784,0,0,0.0,0.0,0.0,0.0,0.0,1.8,-182.426,-41.464,-282.176,31
Abiprubart,G4,Kappa,22831.63,-246.94,198,213,411,11396.86,-221.92,4,9,554.02,1.1337,0.6992,1640.6,330.4322,2.501,-3.882,7.278,0,0,0.0,0.0,0.0,0.0,0.0,6.33,116.896,547.877,21.693,72,2,5,463.89,0.6887,0.6859,795.11,316.8523,1.819,9.027,5.932,0,0,0.0,0.0,0.0,0.0,0.0,3.61,-59.466,-94.186,43.481,40
Abituzumab,G2,Kappa,25269.32,-283.86,202,214,416,12598.3,-220.99,6,10,651.45,1.0809,0.4193,2577.78,636.0396,1.53,-0.951,-6.506,0,0,0.0,0.0,0.0,0.0,0.0,5.42,-323.221,2.755,138.498,66,3,7,410.61,0.6599,0.3007,855.98,270.9743,0.871,10.174,-0.89,0,0,0.0,0.0,0.0,0.0,0.0,2.71,-336.033,-139.27,171.984,36
Abrilumab,G2,Kappa,22024.06,-163.72,202,214,416,11005.65,-166.88,4,17,1035.01,1.0599,0.5813,2612.25,824.7923,1.099,4.813,5.612,0,0,0.0,0.0,0.0,0.0,0.0,4.51,-961.88,-271.028,15.991,64,3,7,443.34,0.9144,0.5223,1185.4,405.4095,-0.614,9.366,11.164,0,0,0.0,0.0,0.0,0.0,0.0,1.8,-56.843,-159.654,-30.574,34
Actoxumab,G1,Kappa,23053.79,-164.56,220,214,434,11161.27,-195.29,6,22,1514.65,0.9734,0.4242,3635.26,670.2955,-8.972,4.484,-6.404,0,0,0.0,0.0,0.0,0.0,0.0,5.43,-193.076,405.083,-212.359,65,4,7,580.67,0.9734,0.4777,1546.68,565.2547,-4.984,14.095,-3.006,0,0,0.0,0.0,0.0,0.0,0.0,2.71,80.299,-120.149,157.155,37
Adakitug,G1,Kappa,22850.88,-188.75,215,214,429,11710.61,-237.32,4,19,1442.47,0.7507,0.5064,2855.4,501.5811,-1.138,-10.288,-10.316,0,0,0.0,0.0,0.0,0.0,0.0,4.51,-43.573,390.166,852.708,66,2,9,566.34,0.6225,0.5631,914.29,285.2225,-5.348,0.667,-10.413,0,0,0.0,0.0,0.0,0.0,0.0,1.8,-66.044,-166.302,327.487,38
Adalimumab,G1,Kappa,24003.78,-286.71,219,214,433,11876.8,-200.8,4,7,540.12,0.6913,0.3865,1653.98,305.5179,-6.772,-2.217,1.413,0,0,0.0,0.0,0.0,0.0,0.0,5.42,599.82,118.317,385.601,64,2,7,396.52,0.6913,0.6738,645.74,274.1078,-5.107,6.064,-1.6,0,0,0.0,0.0,0.0,0.0,0.0,1.8,99.217,4.823,672.412,39
Adebrelimab,G4,Kappa,27203.39,-320.88,203,218,421,13388.06,-317.41,6,11,674.93,0.8883,0.4068,2281.59,291.5019,2.803,-4.097,-2.073,0,0,0.0,0.0,0.0,0.0,0.0,7.24,213.838,772.007,14.427,75,3,7,392.59,0.6275,0.2078,991.6,246.3563,2.08,9.774,5.115,0,0,0.0,0.0,0.0,0.0,0.0,4.52,281.356,-108.417,-200.534,43
