Therapeutic,CH1 Isotype,VD LC,Fab_Total_SASA,Ch_A_length,Ch_B_length,Fab_Total_AAs,N_Disulfide_Bonds,N_Salt_Bridges,N_Hydrogen_Bonds,Delta_H_REF,Delta_Cp_Proxy,Hydrophobic_SASA_Folded,Polar_SASA_Folded,Hydrophobic_SASA_Unfolded,Polar_SASA_Unfolded,Delta_SASA_Hydrophobic,Delta_SASA_Polar,Delta_G_NU,Delta_G_NU_at_T_REF,Delta_S_REF,Tm_Proxy_K,Tm_Proxy_C,T_Onset_Proxy_K,T_Onset_Proxy_C,N_Helix,N_Sheet,N_Coil,Pct_Helix,Pct_Sheet,Pct_Coil,Chain_N_Disulfide_Bonds,Chain_N_Salt_Bridges,Chain_N_Hydrogen_Bonds,Chain_Delta_H_REF,Chain_Delta_Cp_Proxy,Chain_Hydrophobic_SASA_Folded,Chain_Polar_SASA_Folded,Chain_Hydrophobic_SASA_Unfolded,Chain_Polar_SASA_Unfolded,Chain_Delta_SASA_Hydrophobic,Chain_Delta_SASA_Polar,Chain_Delta_G_NU,Chain_Delta_G_NU_at_T_REF,Chain_Delta_S_REF,Chain_Tm_Proxy_K,Chain_Tm_Proxy_C,Chain_T_Onset_Proxy_K,Chain_T_Onset_Proxy_C
Abagovomab,G1,Kappa,29293.22,217,214,431,2,14,258,-134.803,4.561,7487.888,11768.266,27635.0,30841.0,20147.112,19072.734,-195307.951,-195307.951,1323.197,273.15,0.0,273.15,0.0,26,114,276,6.25,27.4,66.35,1,8,119,-56.122,1.995,3955.114,5732.309,13228.0,15382.0,9272.886,9649.691,-195307.951,-195307.951,654.878,273.15,0.0,273.15,0.0
Abazistobart,G4,Kappa,25703.37,201,214,415,2,19,259,-178.123,5.087,6595.068,10096.38,27930.0,28152.0,21334.932,18055.62,-184205.189,-184205.189,1274.877,273.15,0.0,273.15,0.0,8,129,269,1.97,31.77,66.26,1,8,110,-75.426,2.663,2822.97,5175.083,14224.0,15283.0,11401.03,10107.917,-184205.189,-184205.189,617.574,273.15,0.0,273.15,0.0
Abelacimab,G1,Lambda,25825.05,220,216,436,2,16,295,-207.735,5.116,6370.591,11907.625,28544.0,32096.0,22173.409,20188.375,-198768.873,-198768.873,1344.265,273.15,0.0,273.15,0.0,40,122,262,9.43,28.77,61.79,1,10,142,-104.677,2.402,3252.919,6544.532,13660.0,16013.0,10407.081,9468.468,-198768.873,-198768.873,666.323,273.15,0.0,273.15,0.0
Abiprubart,G4,Kappa,22831.63,198,213,411,2,28,278,-260.941,4.816,5482.343,9743.308,26588.0,29410.0,21105.657,19666.692,-192278.077,-192278.077,1267.059,273.15,0.0,273.15,0.0,16,157,228,3.99,39.15,56.86,1,11,143,-127.524,2.476,2539.045,4620.962,13524.0,15109.0,10984.955,10488.038,-192278.077,-192278.077,644.476,273.15,0.0,273.15,0.0
Abituzumab,G2,Kappa,25269.32,202,214,416,4,23,286,-245.224,4.41,5951.035,11021.351,26185.0,31605.0,20233.965,20583.649,-192422.075,-192422.075,1293.776,273.15,0.0,273.15,0.0,17,155,238,4.15,37.8,58.05,2,14,134,-131.053,2.087,2677.89,5421.776,12833.0,16804.0,10155.11,11382.224,-192422.075,-192422.075,644.947,273.15,0.0,273.15,0.0
Abrilumab,G2,Kappa,22024.06,202,214,416,4,19,270,-230.842,5.122,5246.338,9565.112,27371.0,29571.0,22124.662,20005.888,-188512.692,-188512.692,1256.158,273.15,0.0,273.15,0.0,22,185,201,5.39,45.34,49.26,2,15,126,-133.172,2.576,2433.12,4772.537,13882.0,15741.0,11448.88,10968.463,-188512.692,-188512.692,631.828,273.15,0.0,273.15,0.0
Actoxumab,G1,Kappa,23053.79,220,214,434,4,22,257,-203.646,5.555,6294.172,8762.298,30065.0,29825.0,23770.828,21062.702,-190892.763,-190892.763,1308.354,273.15,0.0,273.15,0.0,18,178,230,4.23,41.78,53.99,2,14,128,-124.159,2.504,2713.641,4531.32,14011.0,15678.0,11297.359,11146.68,-190892.763,-190892.763,639.841,273.15,0.0,273.15,0.0
Adakitug,G1,Kappa,22850.88,215,214,429,3,20,283,-227.107,5.196,5915.728,8959.135,28626.0,30007.0,22710.272,21047.865,-193569.199,-193569.199,1311.893,273.15,0.0,273.15,0.0,21,179,222,4.98,42.42,52.61,2,11,138,-120.169,2.408,2793.249,4631.988,13622.0,15249.0,10828.751,10617.012,-193569.199,-193569.199,648.831,273.15,0.0,273.15,0.0
Adalimumab,G1,Kappa,24003.78,219,214,433,3,14,320,-251.15,5.408,5474.018,10123.489,28693.0,30841.0,23218.982,20717.511,-193977.564,-193977.564,1339.85,273.15,0.0,273.15,0.0,27,174,218,6.44,41.53,52.03,2,6,164,-145.885,2.477,2004.585,5244.185,13162.0,16214.0,11157.415,10969.815,-193977.564,-193977.564,650.115,273.15,0.0,273.15,0.0
Adebrelimab,G4,Kappa,27203.39,203,218,421,4,19,282,-200.778,4.594,6928.865,11035.688,27077.0,29837.0,20148.135,18801.312,-199084.15,-199084.15,1320.222,273.15,0.0,273.15,0.0,14,157,241,3.4,38.11,58.5,2,12,134,-106.626,2.519,3334.955,5148.11,14251.0,15085.0,10916.045,9936.89,-199084.15,-199084.15,667.374,273.15,0.0,273.15,0.0
Adezkibart,G1,Lambda,23895.27,217,217,434,4,21,248,-198.71,4.548,5971.615,10514.994,27136.0,32577.0,21164.385,22062.006,-190290.599,-190290.599,1290.29,273.15,0.0,273.15,0.0,21,156,254,4.87,36.19,58.93,2,13,123,-117.155,2.126,2633.794,4963.877,12971.0,16535.0,10337.206,11571.123,-190290.599,-190290.599,637.845,273.15,0.0,273.15,0.0
Adimanebart,G1,Lambda,25556.29,219,218,437,2,10,326,-190.071,4.713,7357.14,10373.057,28517.0,31048.0,21159.86,20674.943,-204984.397,-204984.397,1395.929,273.15,0.0,273.15,0.0,17,177,232,3.99,41.55,54.46,1,7,158,-104.831,1.96,3406.777,5853.317,13064.0,16879.0,9657.223,11025.683,-204984.397,-204984.397,687.169,273.15,0.0,273.15,0.0
Adintrevimab,G1,Lambda,25915.02,222,218,440,2,15,266,-160.448,4.923,6942.099,11271.559,28669.0,31810.0,21726.901,20538.441,-198888.143,-198888.143,1336.552,273.15,0.0,273.15,0.0,18,150,254,4.27,35.55,60.19,1,11,127,-83.205,2.177,3671.801,6880.459,13503.0,16595.0,9831.199,9714.541,-198888.143,-198888.143,666.795,273.15,0.0,273.15,0.0
Aducanumab,G1,Kappa,26967.71,222,214,436,2,22,276,-194.515,4.917,7099.386,10972.748,28611.0,30950.0,21511.614,19977.252,-193058.513,-193058.513,1349.485,273.15,0.0,273.15,0.0,37,135,248,8.81,32.14,59.05,1,13,133,-116.871,2.213,2885.178,5987.667,13171.0,16686.0,10285.822,10698.333,-193058.513,-193058.513,647.129,273.15,0.0,273.15,0.0
